b6a1, 6138
115e, 5f31
367e, b27d
26fd, e985
6c60, 20a7
f9db, 7dbc
838c, 6593
adbb, a0ad
e2cd, c3b6
6189, bf98
abca, aa74
18f2, c7f5
0954, c178
b1a5, 2c84
0af6, dac7
0964, b54c
16a3, ac00
9773, da19
3f91, 4432
a149, 3fb1
3c9d, e720
44ad, 444d
0dca, fa16
013f, cbce
f53a, f297
48fa, efee
1c97, 54bf
5cd9, 1d03
6f29, d13f
b1ba, 98d8
6829, a76b
ae02, bd68
3df1, 333a
8a75, 67ec
c7ab, 1740
5de0, 6305
aac0, 66c5
5946, eccb
72ed, 599a
ac8a, 0762
0e3f, dbb7
bd75, 29d9
a6e7, 463a
7732, b606
01a4, d8d9
5cbe, 4988
7d46, 20cc
3512, 9536
216a, 6c1a
d18a, 228a
58a6, 45f3
782c, e94c
e9a2, 8580
7364, 80dc
7838, 902f
ea40, b333
cb40, 288a
e377, ea77
64f9, 360e
79cf, ed54
066f, 17d9
5c44, 78ab
6ca6, 3dd8
26fc, a865
ac6d, b365
50d6, db22
4c0b, 0cf3
6ddf, 1e34
c3be, ffe0
2c17, 3c75
4942, ab91
94b0, 1be3
19ff, c9ff
cd5b, c3d2
3f60, f9ea
e9d0, e2a4
cf15, b15c
a934, b041
f4ff, 712c
0288, 4184
9c7e, f476
77fc, f885
7cf2, c8bf
d261, 7d92
7491, 4fe9
19e9, be78
60fc, 25af
44aa, 3169
1bf3, 68af
dd20, 1cde
c7a6, 30c3
6645, c4a5
8c11, 844c
ebb8, 30b7
be28, 0c16
7c97, a228
f988, f2f7
5da6, 2e13
3d34, c074
acdf, d410
40b7, a007
2e65, 5929
736b, 58a5
1ad2, 9a2d
ae19, ff65
e7ee, d7ee
71ed, e03c
2161, c2f8
fea0, 8b92
fb89, 8f2a
f301, a805
1f8b, cf80
4f02, 3f48
00ce, 5dff
f2af, 6c80
f39d, a89d
0310, fec9
5f8b, 1762
338e, 3447
15b4, d691
c0f0, 9407
a328, 529a
dd0b, cfcc
2dbc, c5ad
2a9d, 97b6
f186, b0c1
f2ca, 098c
ff18, db6e
49bb, b263
2466, 186f
1710, 4fc2
7c73, f64c
9fed, 0037
1cb1, 0375
5182, ea75
0064, 0253
9867, aa36
402f, ff10
7a90, 2a12
e34d, 5fc9
a5ba, eb36
27b7, 0a3f
674d, 3d78
1abb, 32be
d7a5, dc2f
b8a0, da9b
2d59, f31b
0522, 7dc1
1c99, 1a41
943f, 1e1d
adb7, 8d79
763d, 20d8
0124, cbd3
fe1b, 571a
b5fe, 2995
20f7, 2ab4
f968, 09d6
f557, 8c79
82dd, 0cb3
05de, e32c
a9b0, e8fd
77d7, 6571
9d63, 59b5
6782, a88d
87b7, c551
1e70, 9f61
7081, e4be
93c5, 13f6
d807, b431
00b8, 708b
3055, 13ba
3fbb, 742c
a1f9, 2f51
b3b5, 93c2
12c2, 026e
4169, 6c40
9ddf, 2d18
9e38, e51b
861d, 0aed
8a30, 8433
5a97, 4e35
de82, 46dd
dd72, 6e53
c3ea, 8fd2
fb6b, cb11
8dfe, 3fef
807d, 47ae
d3fa, dcba
b2b4, fc93
855b, 3ebe
338e, 3447
76c6, c6d7
c481, a37a
837d, df26
a209, 505a
c91c, 8390
6830, e9b3
2aec, b3aa
0bfe, 2201
8c76, 056c
db78, beac
4621, 98e3
3bc3, 39cf
4fe1, 2ff1
9780, 9d46
1609, 7257
6ffe, e216
3a5e, 9562
c04a, 1e92
c564, 80f2
b7c3, 02d2
d9e9, dcb9
8461, 9a3a
b1e0, f44b
4d30, a7a9
d5ec, 1cbe
c830, 4138
4ff8, 794a
b88d, 15c5
8e9e, 1b3a
099b, dae6
30d2, 83df
940e, 4538
0086, f0db
156b, bd7e
34c4, b65a
2e4e, a115
f705, 067c
580a, 4390
7ce0, e18e
cc3b, c29a
935a, d1c0
9f6f, 4135
7bab, c2e3
e8c8, 38f8
5f18, f8ee
21a3, f6b4
7347, f630
d916, 44dd
9c7d, 8193
9ba6, c31e
2d9e, 0222
fc96, 1f15
352d, 6e84
4f05, 1b4f
429e, 141b
62cf, a308
e58a, 5968
de10, 5d1e
a32b, 2f00
7a06, f6c3
eda8, e4dd
71c4, c04d
5e1b, 63fb
4eb4, 3666
f99f, 5ba9
dfa2, 2d72
a7ad, 171e
297c, ec5c
fac1, 7bd8
ef4d, 1629
61ec, f5ef
eb22, 0947
95e6, b2e4
87af, 9155
ad79, 83d7
adf4, 0169
dc59, 4ab0
9cbf, f65e
b6e7, 359d
1956, eb71
86b8, 879a
70c6, 948b
4bb5, 53b1
b205, 076b
e965, 7c8c
a0a9, c1cd
4709, 48b9
2249, fd0d
4f82, af82
4b96, c74d
21b8, 27d9
4380, 5be5
8f1d, 82cb
62ce, 57af
fc99, 436f
4bdb, 9617
c627, 508f
62da, dc50
dbbe, af99
4158, 1b75
b1ff, c010
2bd2, 6896
9f40, d746
dc27, 2b74
7766, a1b4
76e3, ce35
6062, 4836
0e48, ba43
bfd4, 7b87
741e, 9ca3
d2ed, f4b3
0985, fbd3
d036, 139a
8d22, c686
aa55, 719b
1cdb, f1a9
0aec, 26c0
264a, f1a3
d8b3, c667
bcd2, dcb0
6de2, a252
69a8, 1583
3902, 86d5
5ebb, aa53
904a, 28db
2ff9, 721a
b7cd, cc4a
3a20, 6066
91c7, 55c7
1b07, 8e31
f66b, a35a
6442, 02dc
497f, a490
57c1, b007
9c8c, e0c5
ecea, e75b
8e52, 9edf
ff91, 2bbb
03b1, db0c
9d46, 9780
c568, 2917
f9ea, 3f60
2a9c, 590c
d9e3, 423c
d24e, c51d
d002, 960f
7812, 91f8
5c76, e369
7cb8, 2a57
2cf8, 9df3
5f8b, 1762
8f02, 346d
5c12, 318b
bf67, 8af5
4332, 6bc5
4ea6, f61e
343f, 2e44
db31, 3893
4429, e021
8c66, 1b5f
b9d5, 6c71
9e9b, b136
07da, 0724
1cd0, 7bcf
a296, ba98
a728, 5d88
0cf7, 2501
55b5, 209b
70f9, 052a
0df7, f0c6
469e, f8f2
4a47, 8aaa
d33e, 560b
91ea, 2990
8ffa, ba2b
d14a, cab2
06e7, 18e8
dd4d, 6586
fc72, 0d97
bf33, 09ee
11d2, 8ac1
401c, 09dd
709c, 2ef5
4cf2, df61
5fb8, a081
dce2, e4e0
d3eb, 53ef
ebab, ebcb
9171, e6f1
ad5c, a6cc
44ff, 2d15
e988, 9d7e
90e5, 0155
d72e, 13c4
b5d4, 0624
38dd, 67c5
caf1, ad99
b0ba, d90a
e754, 9b75
7848, b441
88dd, e1d3
fd76, 769e
f32f, 9426
3bf1, 61d0
e4a0, 0afd
3120, 662b
f133, ecbf
81cd, 7aad
6c30, f178
b856, b179
056d, 469d
5dfb, 781f
b4be, 581f
1a79, 1b94
6891, df1a
7551, 7dd9
b419, 668e
5e14, 841b
d67f, a046
120d, c384
fd81, c654
e87f, 2e2b
c9c6, e01e
3dad, 3d82
21e0, 9bc1
7330, 7e3c
0359, f82b
5e0a, 41f9
6d99, f21d
f749, be3b
694a, 6fd0
d8d3, 8644
dfd5, 53d7
1645, c559
e15d, b08d
32a4, b6f1
b036, 3112
aca8, db62
24b6, cb9f
1803, a604
5304, 1109
0097, 9872
f49f, 55a0
9766, e697
e848, 2de0
b80d, 29bb
4342, 1293
27d0, 16e8
5bfd, 4eb6
8a72, 07d9
e9eb, b172
9a09, 8e6e
1eb7, 5e8b
0308, 3046
9be5, ce54
5e86, bedb
a089, d1ac
7a31, 92f5
d4d3, 86ab
6c86, 1a9d
2037, 3c49
c307, 97be
d489, e9cb
9569, 5201
f673, 015a
e877, e777
47dc, d741
bf2e, 0b0f
5b6b, 3156
f432, c4ed
3955, 19e5
bd59, 7c84
27dc, 6fae
ca9c, 18c4
dff6, 35bb
7638, 929a
9e0f, 0bba
09dc, 5a52
da62, b423
4336, 4121
3a5a, b264
705e, e34b
9768, 7738
3656, a141
f9b8, 770c
c506, 8606
5dfe, c20b
16a5, faff
8724, edeb
a8df, 0426
85bc, 274d
3d9c, f304
4138, c830
67e2, a8c5
7069, 86d0
00f6, 464e
d117, 52a2
56f3, 2bd8
b31c, 0d46
7bec, 0b4e
89a0, 70d9
1195, ca72
1165, b086
d96d, 12f6
e2ac, 1fa3
a367, 73d8
9511, 5b18
a90d, 4b69
6942, 6c5a
1db6, 7be2
7dc6, ba35
9e00, f081
007b, 0590
2cb2, b04b
5ed8, 253a
4adf, 1e08
43e5, 12f4
c0a7, 8e53
ba64, 6ea8
54e1, 6a3e
d80c, 1ffc
d1af, 6ff9
f0d8, d00d
ec41, 7e83
987b, b088
083d, 4bf9
c577, 1587
448d, 6027
de0a, 2892
7b61, ebf6
e427, c0c4
7e7d, 8f6a
48cc, f258
9cf0, 849b
0752, 2f5b
5cdf, f919
e62e, a831
27a7, 1bf6
3852, e752
f663, 81d8
6f04, 69c5
6147, e0a3
ee6c, a907
7fdf, bef5
ee38, 7dd8
53d1, e436
bb20, c492
a450, 4d0c
7d8b, 8a71
aab7, 6328
8517, bfa5
f0fe, 1694
a2dc, 35a6
2cbd, 0a5d
1413, aa0d
9a75, 9e37
0f5c, 9d56
0ada, 0011
cd9d, 81e2
3d42, a566
6f03, 63c9
4ddc, 61f9
d89f, 8070
e542, a28c
1224, 79d5
542e, 3fb0
f58c, 2f7f
164a, 56e7
16bc, 91be
78d1, 6820
c8bf, 7cf2
20e4, 5321
ec35, c3b1
8220, 8887
8b35, 9541
c17b, 2554
e01e, c9c6
5694, 1ae8
c68a, 722d
789b, 0bf7
ee3c, 59bb
2be2, 749f
afcb, 3c50
9ed4, 44f8
737c, de07
ca55, 8695
a8f2, a8f5
8fd2, c3ea
d3a2, 24e1
af17, c505
ad70, 0cde
70e7, 7a0c
2dae, 63ab
d513, 0707
d6a6, 20b7
f62e, cdfd
ec9b, 64f8
8f74, 4763
346f, 0d13
2aca, 4d61
6bf2, 8d5f
d54d, b2b7
caad, 1aad
acfd, 8db6
cb8c, 4244
f935, 5725
c1bb, 8c55
4c8b, 06eb
0021, 72bc
a4ac, d661
f571, 33e1
0069, 942d
64e9, 8523
30ab, d540
659d, c0b1
c787, c777
21bf, 69bc
d772, 9f43
fb20, cdeb
31e9, a028
889f, c9a4
1896, c99e
85e5, d066
54d3, 26c8
f0f0, c0c0
3267, e224
a0cf, adb0
3c60, 71bf
4d1c, 1a75
6f02, dfb2
3b24, 8d5d
4e90, 587c
b154, b6fa
169c, ad58
80b5, fec3
c62f, 3e99
b032, 2d64
4aa3, 8435
e0a0, 68fc
a221, 3171
3453, 8f80
f857, 0587
9386, 2f44
565e, bf3b
fb3d, 5b06
726f, 9f93
f888, c883
1bbd, 3926
1ba6, 12dd
9394, e974
fd95, ba15
ab43, 0bd9
3236, 1949
989d, f58e
f2e6, 7c50
9465, abef
df93, 5602
86bd, aa1e
03ac, 046a
f1f6, 33ed
b512, ac5a
9e01, 87d0
3345, c3cd
cb0c, 66c0
e742, 5f80
e22e, 36d3
2c40, 9a1e
bfb3, 30e5
8f7d, 507e
f9d2, a472
d91c, 6256
9a7a, 8e05
1775, c785
f60a, 4028
5311, 77f0
8ba2, 784e
6688, 2fb7
10f8, 351a
0170, 657d
626d, 1626
afc7, 5c70
b677, efc8
56e1, 83f4
f0ae, 0e51
dd94, e049
961c, 7eaa
ceb8, c066
e2f4, 37ba
9034, 1340
39b8, 4f6a
de39, 8426
79e4, 8f3a
12eb, ac65
9925, 86e7
aa22, 7c23
7253, 075e
dcd2, f889
f0db, 0086
2bbd, 3368
2c87, 6977
27df, 3b6f
3a9c, f29a
8462, af6b
f50b, c553
3dea, 6a55
518c, 408e
415a, ebf1
7d27, cb2f
feb0, cd60
8837, d398
9ed0, 4c78
1e05, d46e
c176, d4cd
658c, 20cf
39fb, b943
edf5, 4a3c
6789, 2beb
4acc, 714f
962d, e229
6be1, 1b68
495f, a95f
0425, 5a94
d696, 1534
d64d, a022
5378, d61a
f5d5, 0d6e
1222, c525
d13e, 7d94
4573, af68
0722, 974a
054e, 13d8
0ffb, 10f9
a70d, a51e
40e2, e6ae
5a2b, e715
ceb8, c066
46eb, b9bb
bc8a, ed5d
f680, c570
cb7c, c73d
a2b4, ccc7
66ca, 259a
7b57, be82
0a35, 0c6b
a3bb, 80ee
db20, e335
914a, a64d
27dc, 6fae
327a, b37f
c72a, 185a
5d03, 43b7
4a94, 8b6f
9c2b, cde1
d616, ee1e
822d, b676
59b8, 8fe9
c7a1, 5b09
0609, 1914
3afc, 4761
cc25, 46b7
3ea2, bec1
74af, 8c18
50f5, f76b
a997, 6268
65f2, d5f2
e7d9, 3a5f
fc0a, 075a
18ab, 18a0
dde9, e3e8
8c06, a1fb
dc2d, 48dd
fc54, 2eba
c6fa, 272e
8201, 108f
770b, 3d2c
7f03, 748e
3dc1, bd4d
9fb3, 4b33
db42, 3720
ec51, 9e69
5c00, cac8
8593, 5125
5f4d, 2238
740c, d7d5
1232, 31d5
13bf, fec0
368f, ead1
0edd, 9344
817d, 2ff0
c6a1, 008c
fb37, c510
7132, f346
2a3b, 52cb
67b0, 6700
d9bf, 7c14
a13f, 394d
4a02, ef16
4569, c26a
5a08, e9ba
8878, 7999
0c20, b62d
2a12, 7a90
3214, aae1
db98, 2d14
2402, 01e8
2ac4, d1eb
368f, ead1
9d3a, ba36
3447, 338e
4884, a532
f546, 966c
2ef5, 709c
34b0, 056a
9d21, 8f35
5369, 70d7
da04, ea41
d041, afae
62cf, a308
124e, 00fd
3df2, 8c73
7620, 55bc
f886, a20a
bb7e, b320
50d1, bb3a
159d, 9be1
85c5, 7b6a
b848, 430e
45de, 37d1
7115, 7cc2
9b07, a976
fe40, ca19
d955, d925
bc25, e5ed
bc1c, 3679
5a60, fc0c
1430, 3503
7319, f656
528e, 19bd
8a67, b924
efa2, f357
5c70, afc7
34c7, d88e
d19f, 741c
307d, c52d
5b6d, fd40
bbce, fc98
a458, b2cd
55f2, ce0c
5fd7, dfd7
c0d0, 3b44
45a1, 8f2e
3271, e8d9
8652, 0d76
e4ac, 5c2d
f9d6, de7f
6598, d5f7
4f52, 1676
ab8d, c8e5
f311, f52a
e3d6, ca36
667e, bfa0
f114, 9ad3
9f44, 37cd
e47d, ef00
32a2, a57c
62c4, 23f1
a67a, c53e
5e2b, cafd
ea11, 9f7e
c879, e24b
da10, d1be
20ec, c622
0d15, ff2f
b94e, e6d0
ff9b, 7792
c3fd, 655e
956c, 93ef
5fcf, 3fd7
6bb8, 73ae
2065, e2d5
636b, f791
9546, 46cb
d189, 484a
eb04, ad1c
afb9, 4c8a
487e, 0e50
c8f2, c8f5
10f9, 0ffb
8f8b, 28ec
ade7, 00f5
f661, c259
5e53, 0bd0
265b, 3f79
1c0a, b9c0
554a, 2544
cc4f, c891
240e, 2ffc
78b1, f105
05ce, 8946
4aa6, 4bfa
d87b, 7797
ba0f, e74f
f42d, 5884
78cd, 87cd
f685, 5fc3
d8ea, 4054
cd37, 4e14
4772, a885
e43f, 6e25
ae1e, c67a
85c3, 42e9
1d69, b0b9
862f, e63e
fd02, ddb0
a0b7, 4bb8
c9d6, 4674
bd2a, 0264
a12e, 2067
17f7, bdf2
cdcd, fbbc
33ad, 3024
b149, 3f68
ba7b, 84b8
c5f3, cad9
f23a, f655
3a4f, f4d5
ce89, 9a0c
f0b0, 1796
a9c3, 24c6
3a10, b196
1032, 9d7c
d714, 6806
a1dc, 4d6e
1707, fc16
4e60, 4398
1041, c646
c3a2, 0e54
7095, 9d45
ef3c, 1943
9daa, 75e0
a698, 4585
f59c, b500
d0cf, 523a
5b26, f487
aafd, a316
0d56, 4d5c
06d0, 2797
849d, 3892
f88e, c11c
6103, 443f
b22f, 432f
e432, 091f
7771, 5750
8727, b11e
2a5f, 646c
309f, b31a
1364, a2d3
8525, 08f6
24df, 9b1a
bf91, 4b93
533b, 3f4a
5683, 658e
ecd1, 2c83
d665, 8677
e69e, 5498
304f, 3b41
adb1, ddf8
96c3, f7c6
a0e9, dfe1
8081, 9757
a424, 9b51
87b8, f880
1c6a, 0933
c6f7, e9e3
d74d, 69b6
66f4, 0cb5
0faf, b07d
244a, bc7a
f735, b987
936d, 9bbd
c857, 1727
b947, 0c0c
5cb6, 5737
d222, 56d6
705b, 9bcb
0f49, fc5d
d217, 5838
dc03, 0748
f41b, 9467
1e4c, 1793
733e, 9666
b50c, f95b
de4c, 21df
2854, 8053
dc87, 75c2
a0b9, f96f
58d8, 37fe
17a2, 5e77
a544, 64fe
7bd9, 8ab3
32b4, f03e
cf7a, 4797
a24b, 7240
703d, 469f
93f1, 8265
3d2e, f61a
3371, c7e9
427f, 5b9b
0e7c, ee01
93b8, f721
1bab, f7e0
299d, f839
f7b9, 01c3
51a5, 99bb
df54, e94a
184c, 77f5
1b44, 649a
ea4f, 0cb1
0623, 41bb
7e1f, 16e3
850d, 503d
eceb, d0a4
b218, b0ab
cc49, 6435
7ec9, 94ee
fc65, 6110
a7c5, a82c
15f4, cd0a
3f60, f9ea
4e21, 0365
c78e, f6e2
4122, 6ca5
c90d, 58cb
9bf6, 41ba
588a, 2650
5964, 5c20
8a6e, 0fdb
a828, 6924
2525, 66a0
5bd9, 253c
3a13, 5433
815c, 77da
4b1e, 3b9a
e1bc, bb14
75c2, dc87
84b5, 3702
5458, 8917
7aa7, 8a47
4303, 3333
215c, a9e5
61ef, af9f
473f, 0c9b
383b, 9ee7
afae, d041
9641, 6e4e
a9f3, 477e
28aa, 2a8b
5f19, 5181
729d, 766e
6e5d, 309a
482e, 96b7
dee9, 633f
5b05, c3ca
e957, e166
ca98, 51e0
5252, 9499
f17b, 7a7b
577d, e5f3
d015, 41b1
ce71, b737
b1e9, 7b02
44df, 8510
d306, a037
e5b2, 2cf7
a487, dc90
3020, 2e35
0811, 7506
26f5, 409b
05ba, d93c
048a, e1ec
59ce, 30a6
3b02, 49ce
3546, 1082
6f38, 1746
4c84, 049a
9b1e, b525
ee60, 30a9
7eec, 1edf
094e, e250
dd77, 3a01
e0bb, 30bb
a2a6, e393
5b2a, f2d1
973c, 4206
ad47, d400
ec19, c4f1
6277, 6757
0b51, b9ac
f435, fdff
9fba, 9d8d
55e5, dded
c6c7, 8f91
7a96, 235a
c2b6, 4660
3515, feee
0953, 0309
635d, d93f
f1c0, f1cb
79b7, 9c31
3fee, 0c63
2699, d0ad
f6af, 9ebe
3c20, 1427
49cf, 8ba1
dcb2, c53a
e515, d545
d00c, bf9e
943b, 286d
d4ce, d842
3aed, fb7a
cd1b, 982c
0a22, 0f94
f246, cda2
b4f1, e1f0
da80, c7f4
1d40, 9b02
a3b2, 0a70
ad5c, a6cc
105e, 6f65
3ecb, 33c9
29a3, 2bd3
07f8, 5b92
63e6, eb60
c8d1, 40a6
fc2c, 3466
55a0, f49f
faca, cd59
51d8, bd1d
9ecf, c0c7
6bae, 4199
7939, 560f
4bde, 0896
02d6, 3aa2
c64e, 1c2c
8578, 2e63
c545, ba6a
4be5, 3521
c3d3, 8931
edda, 8d8d
b5ab, 1cbd
1232, 31d5
bf54, 0c0e
3e8c, 742e
d7ec, 4b37
4a46, a4a6
2e7b, 55c2
51a8, e93c
76c0, 85b9
5632, 8f56
4725, a8c2
a3d1, 928a
c57a, 45d9
248e, 3150
a46f, 2919
2ec7, 53c7
d3d5, 3763
eef3, 00c5
bde8, 7c91
60f1, e6be
6aa0, 2669
ce72, e45c
2df0, 903a
eeea, 49c7
d679, abb3
cd0b, 092a
f602, 77b3
2745, d7d3
50fd, da4f
985b, b8dc
88d0, 0798
2a5f, 646c
05b8, 6861
9bd9, 9df8
b55f, 1a06
2aa9, f7fa
aefd, 0fe0
0a0e, 045d
2919, a46f
3df4, 704f
117a, 5c6f
7849, 5b35
b792, bf5e
ff38, 326c
f7b9, 01c3
09c5, 910a
16d8, 358e
aa01, e264
6743, e100
db5e, 1309
9abe, 6913
98b5, 721d
db4b, 0420
439a, af19
2655, 7af2
98db, 4735
9c49, 3ab2
ef27, ecd2
d8b6, 177f
9ed6, b1cd
9de1, 1dd1
2386, a5e5
5445, e8cf
528e, 19bd
adf9, 93c9
8de1, 2364
3f41, 5286
0420, db4b
ea5f, 91f9
b8d3, 0ece
9abc, fa7d
2a19, 220d
656d, 450e
2cf3, bf74
7d90, 252a
4204, 1f16
1c4f, 665c
2748, 3210
ce89, 9a0c
5ac2, 259f
3c2a, 7d52
ed5d, bc8a
0291, a372
e648, 0bc4
a5b6, b6ff
01d8, 4438
82bd, 6f6f
1fb9, 06a4
d5f5, d595
e9f3, 4c9e
6f4b, aba0
be87, 9294
ad2b, c2e1
b525, 9b1e
97b8, bc1d
95d4, b54d
6ef2, 221e
5fad, d145
115f, 27d3
fa15, 9ac5
1205, 64b7
8d98, 6bc7
dcd6, 606d
769b, c429
6e14, 2c04
397c, 3e83
b210, 4a24
52f4, 6d1a
faeb, ccaf
1459, 05c8
9492, 8f4a
2b4a, 6ecf
f971, cab4
7389, 29eb
687d, 3c5b
c7fa, ded4
ec5c, 297c
f1d7, cf58
edd1, 05f7
1a45, 9a4d
bdb0, 87a5
644e, f8f0
cefd, e25f
8c10, 7445
ca4a, eb24
2dd7, 6258
ef79, 112f
44f7, 148b
e24d, 9216
6ba9, d915
4163, 3776
955e, 0ab0
0a85, 307e
41d6, 6af8
94d9, b7d8
b173, 301a
3944, 1618
8ad0, 3c66
034e, 0434
fb1c, 0fc1
2ceb, 9681
c29f, 12f9
f33c, a66a
0488, f1f4
96a8, 23a2
87c1, 72f2
b6ce, d17a
3c92, b094
7b78, 092f
e3ef, 935b
dd1e, 1a2c
aa28, 6395
51a5, 99bb
6e0b, 2ef9
eb2a, 1d9a
2c53, 250c
ced1, 73e6
4c68, 3a40
bef2, b040
8d53, 47df
c2d8, 6c75
f4c6, 331b
74a5, 8ca7
4143, 1774
b545, 1836
4539, b0c9
440d, f4fe
e53c, 31a1
014b, 1cfe
53b7, 5b17
ef13, fb2d
23a6, 4dc6
d6d1, c49f
e4fe, c9c1
41d9, 14d7
e28d, d0d0
3940, 007e
e95b, 3f50
351a, 10f8
b581, 5034
c9dd, c39b
424d, 3c3c
3327, 1af9
e82e, c415
db84, 0457
5f4a, ec94
466e, 33b7
ea29, 376f
b95b, 6ed1
91b5, 1de5
26ec, 1653
966e, 855c
47ac, b551
53ae, 0316
4759, 9a37
0672, 2bab
aa15, 4140
9bc6, 8034
6dfe, 0dc3
4294, 05fc
53b7, 5b17
e860, cb35
8ee5, cb0b
909b, e6e3
7873, afcc
2038, cf9e
2d60, 8acc
7866, 9abb
960f, d002
afce, 57ad
9133, 53b8
faa4, c165
4508, 7bb6
4c61, ac61
f5be, b258
e7f3, 9058
ba88, 52e1
